Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
S001200,Darren Soto,M,Democrat,1978,1,FL-09,-0.156697541,-0.673001587
S001201,Tom Suozzi,M,Democrat,1962,1,NY-03,-0.09560512,-0.462994039
T000193,Bennie Thompson,M,Democrat,1948,13,MS-02,-0.321610659,-1.239896655
T000238,Mac Thornberry,M,Republican,1958,12,TX-13,0.24213171,0.697989047
T000460,Mike Thompson (California),M,Democrat,1951,10,CA-05,-0.349816293,-1.336854577
T000462,Patrick J. Tiberi,M,Republican,1962,9,OH-12,0.28366971,0.840777457
T000463,Michael R. Turner,M,Republican,1960,8,OH-10,0.144599169,0.362717271
T000465,Niki Tsongas,F,Democrat,1946,6,MA-03,-0.130986288,-0.584618151
T000467,Glenn Thompson (Pennsylvania),M,Republican,1959,5,PA-05,0.253770262,0.737996995
T000468,Dina Titus,F,Democrat,1950,4,NV-01,-0.21196115,-0.862972319
T000469,Paul Tonko,M,Democrat,1949,5,NY-20,-0.342353135,-1.311199665
T000470,Scott Tipton,M,Republican,1956,4,CO-03,0.454797894,1.429037094
T000472,Mark Takano,M,Democrat,1960,3,CA-41,-0.141165063,-0.619608045
T000474,Norma Torres,F,Democrat,1965,2,CA-35,-0.33318612,-1.279687762
T000475,Dave Trott (politician),M,Republican,1960,2,MI-11,0.240656719,0.692918718
T000477,Scott Taylor (politician),M,Republican,1979,1,VA-02,0.041323148,0.007702039
T000478,Claudia Tenney,F,Republican,1961,1,NY-22,0.330753237,1.002628922
U000031,Fred Upton,M,Republican,1953,16,MI-06,0.445701808,1.397768974
V000081,Nydia Velazquez,F,Democrat,1953,13,NY-07,-0.094454966,-0.459040374
V000108,Peter J. Visclosky,M,Democrat,1949,17,IN-01,-0.074366935,-0.389986992
V000129,David G. Valadao,M,Republican,1977,3,CA-21,0.280946434,0.83141613
V000130,Juan Vargas,M,Democrat,1961,3,CA-51,-0.107717812,-0.504631937
V000131,Marc Veasey,M,Democrat,1971,3,TX-33,-0.292900741,-1.141205192
V000132,Filemon Vela,M,Democrat,1963,3,TX-34,-0.068469919,-0.36971578
W000187,Maxine Waters,F,Democrat,1938,14,CA-43,-0.203798845,-0.834914029
W000791,Greg Walden,M,Republican,1957,10,OR-02,0.172326177,0.458029866
W000795,Joe Wilson,M,Republican,1947,9,SC-02,0.766405284,2.500199318
W000797,Debbie Wasserman Schultz,F,Democrat,1966,7,FL-23,-0.314864516,-1.216706514
W000798,Tim Walberg,M,Republican,1951,5,MI-07,0.337554216,1.026007533
W000799,Tim Walz,M,Democrat,1964,6,MN-01,0.211878553,0.59399271
W000800,Peter Welch,M,Democrat,1947,6,VT-AL,-0.280861616,-1.099820256
W000804,Robert J. Wittman,M,Republican,1959,6,VA-01,0.160021394,0.415731758
W000806,Daniel Webster,M,Republican,1949,4,FL-11,0.461045623,1.45051384
W000808,Frederica Wilson,F,Democrat,1942,4,FL-24,-0.019113455,-0.200051069
W000809,Steve Womack,M,Republican,1957,4,AR-03,0.314954519,0.94832021
W000810,Rob Woodall,M,Republican,1970,4,GA-07,0.151396811,0.386084408
W000812,Ann Wagner,F,Republican,1962,3,MO-02,0.217988431,0.614995599
W000813,Jackie Walorski,F,Republican,1963,3,IN-02,0.407913446,1.267870069
W000814,Randy Weber,M,Republican,1953,3,TX-14,0.5670771,1.81500113
W000815,Brad Wenstrup,M,Republican,1958,3,OH-02,0.23684074,0.679801166
W000816,Roger Williams,M,Republican,1949,3,TX-25,0.489125401,1.547039151
W000819,Mark Walker (North Carolina),M,Republican,1969,2,NC-06,0.498252302,1.578413248
W000820,Mimi Walters,F,Republican,1962,2,CA-45,0.291901588,0.869074881
W000821,Bruce Westerman,M,Republican,1967,2,AR-04,0.337623596,1.026245952
W000822,Bonnie Watson Coleman,F,Democrat,1945,2,NJ-12,-0.360379279,-1.37316525
Y000033,Don Young (Alaska),M,Republican,1933,23,AK-AL,0.161061063,0.419305652
Y000062,John Yarmuth,M,Democrat,1947,6,KY-03,-0.586776912,-2.151415586
Y000063,Kevin Yoder,M,Republican,1976,4,KS-03,0.153764337,0.394222885
Y000065,Ted Yoho,M,Republican,1955,3,FL-03,0.24925071,0.722460866
Y000066,David Young (Iowa politician),M,Republican,1968,2,IA-03,0.297229171,0.887388647
Z000017,Lee Zeldin,M,Republican,1980,2,NY-01,0.218225896,0.615811884
