name,standardized_vote_ideal_point,standardized_tbip_floor_speeches,standardized_tbip_tweets,bioguide_id,party,tbip_floor_speeches,tbip_tweets
Sean Casten,-0.739852,-0.693111,-0.831333,C001117,Democrat,-0.139578,-0.192247
Eddie Bernice Johnson,-1.14689,-0.98869,-0.823728,J000126,Democrat,-0.223012,-0.189613
Danny K. Davis,-1.28575,-0.9315,-0.786608,D000096,Democrat,-0.206869,-0.176757
Andre Carson,-1.17959,-1.36019,-0.746264,C001072,Democrat,-0.327878,-0.162784
Jahana Hayes,-0.825505,-1.1235,-0.708894,H001081,Democrat,-0.261065,-0.149841
Al Green,-1.13106,-1.59468,-0.609951,G000553,Democrat,-0.394066,-0.115573
Alfred Lawson,-0.959441,-0.700083,-0.570801,L000586,Democrat,-0.141546,-0.102014
Lucy McBath,-0.634043,-1.70251,-0.471275,M001208,Democrat,-0.424505,-0.067544
Bennie Thompson,-1.1226,-0.648298,-0.453959,T000193,Democrat,-0.126929,-0.061547
Filemon Vela,-0.87006,0.300373,-0.41775,V000132,Democrat,0.140855,-0.049006
Cedric Richmond,-1.09669,-0.353677,-0.177413,R000588,Democrat,-0.043765,0.034233
David Scott (Georgia),-1.05406,-0.148009,0.103562,S001157,Democrat,0.014289,0.131547
Sanford Bishop Jr.,-0.878863,-0.563228,0.127407,B000490,Democrat,-0.102916,0.139805
Antonio Delgado (New York),-0.648668,0.317547,0.249173,D000630,Democrat,0.145703,0.181978
Carolyn B. Maloney,-1.14975,-0.927708,-2.12944,M000087,Democrat,-0.205799,-0.641838
Eliot Engel,-1.16537,-1.10345,-1.79502,E000179,Democrat,-0.255407,-0.526014
Luis V. Gutierrez,-1.71233,-1.18717,-1.73541,G000535,Democrat,-0.279039,-0.505366
Alexandria Ocasio-Cortez,-0.718032,-1.37432,-1.67999,O000172,Democrat,-0.331865,-0.486175
Katherine Clark,-1.18539,-1.8329,-1.56324,C001101,Democrat,-0.461312,-0.445737
Raul M. Grijalva,-1.33342,-0.552312,-1.54752,G000551,Democrat,-0.099835,-0.440293
Jesus Garcia,-0.802645,-1.63851,-1.45515,G000586,Democrat,-0.40644,-0.408301
Lois Frankel,-1.15149,-1.48087,-1.44948,F000462,Democrat,-0.361942,-0.406337
Jose Serrano,-1.26546,-1.09956,-1.44572,S000248,Democrat,-0.254307,-0.405035
Joseph Crowley,-1.57324,-1.42636,-1.43788,C001038,Democrat,-0.346556,-0.402321
Nydia Velazquez,-1.21744,-0.623814,-1.43494,V000081,Democrat,-0.120018,-0.401303
Rosa DeLauro,-1.16682,-2.04028,-1.43273,D000216,Democrat,-0.519847,-0.400536
Brendan Boyle,-1.07978,-1.22922,-1.43151,B001296,Democrat,-0.290908,-0.400114
Adriano Espaillat,-1.20969,-1.31357,-1.41635,E000297,Democrat,-0.314718,-0.394862
Lucille Roybal-Allard,-1.14263,-1.49027,-1.41515,R000486,Democrat,-0.364596,-0.394446
Debbie Wasserman Schultz,-1.17174,-1.52576,-1.41262,W000797,Democrat,-0.374614,-0.39357
