Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
M001213,Blake Moore,M,Republican,1980,1,UT-01,0.288387656,0.8721069400894036
M001214,Frank J. Mrvan,M,Democrat,1969,1,IN-01,-0.233219936,-0.784113974
M001215,Mariannette Miller-Meeks,F,Republican,1955,1,IA-02,0.2472754269838333,0.7415664057288734
N000002,Jerrold Nadler,M,Democrat,1947,16,NY-10,-0.367579848,-1.21073678
N000015,Richard Neal,M,Democrat,1949,17,MA-01,-0.280848265,-0.935344582
N000026,Troy Nehls,M,Republican,1968,1,TX-22,0.4305124580860138,1.323385013084111
N000147,Eleanor Holmes Norton,F,Democrat,1937,16,DC-AL,-0.423770905,-1.389155969
N000188,Donald Norcross,M,Democrat,1958,5,NJ-01,0.056909170001745224,0.13711090970534207
N000189,Dan Newhouse,M,Republican,1955,4,WA-04,0.32327839732170105,0.9828928564514939
N000190,Ralph Norman,M,Republican,1953,3,SC-05,0.5088251829147339,1.5720454515553695
N000191,Joe Neguse,M,Democrat,1984,2,CO-02,-0.30267635,-1.004653641
N000192,Marie Newman,F,Democrat,1964,1,IL-03,-0.254315615,-0.851097477
O000019,Jay Obernolte,M,Republican,1970,1,CA-08,0.17281875014305115,0.5051497831322888
O000086,Burgess Owens,M,Republican,1951,1,UT-04,0.22183232009410858,0.6607788436933634
O000171,Tom O'Halleran,M,Democrat,1946,3,AZ-01,-0.085503459,-0.315081079
O000172,Alexandria Ocasio-Cortez,F,Democrat,1989,2,NY-14,-0.051243879,-0.20629924
O000173,Ilhan Omar,F,Democrat,1981,2,MN-05,-0.191510856,-0.651678304
P000034,Frank Pallone,M,Democrat,1951,18,NJ-06,-0.395351857,-1.298919129
P000048,August Pfluger,M,Republican,1978,1,TX-11,0.3448493182659149,1.0513853609831452
P000096,Bill Pascrell,M,Democrat,1937,13,NJ-09,-0.285393625,-0.94977712
P000197,Nancy Pelosi,F,Democrat,1940,18,CA-12,-0.339074612,-1.120226273
P000523,David Price,M,Democrat,1940,17,NC-04,-0.389178127,-1.279316154
P000593,Ed Perlmutter,M,Democrat,1953,8,CO-07,-0.220617443,-0.744098236
P000599,Bill Posey,M,Republican,1947,7,FL-08,0.21593448519706726,0.6420518971500406
P000601,Steven Palazzo,M,Republican,1970,6,MS-04,0.49047571420669556,1.513781779276888
P000604,Donald Payne Jr.,M,Democrat,1958,6,NJ-10,-0.188215584,-0.641215075
P000605,Scott Perry,M,Republican,1962,5,PA-10,0.4977045953273773,1.5367350956511654
P000607,Mark Pocan,M,Democrat,1964,5,WI-02,-0.208575293,-0.705861714
P000608,Scott Peters,M,Democrat,1958,5,CA-52,-0.147518024,-0.51199121
P000609,Gary Palmer,M,Republican,1954,4,AL-06,0.329529732,1.0027422454409374
P000610,Stacey Plaskett,F,Democrat,1966,4,VI-AL,-0.251631588,-0.84257509
P000613,Jimmy Panetta,M,Democrat,1969,3,CA-20,-0.150357082,-0.521005857
P000614,Chris Pappas,M,Democrat,1980,2,NH-01,-0.281267494,-0.936675729
P000615,Greg Pence,M,Republican,1956,2,IN-06,0.5363385677337646,1.659406609628874
P000616,Dean Phillips,M,Democrat,1969,2,MN-03,-0.141999573,-0.494468891
P000617,Ayanna Pressley,F,Democrat,1974,2,MA-07,-0.402591676,-1.321907174
P000618,Katie Porter,F,Democrat,1974,2,CA-45,-0.140176833,-0.488681284
P000619,Mary Peltola,F,Democrat,1973,1,AK-AL,-0.454308748,-1.486120461
Q000023,Michael Quigley,M,Democrat,1958,7,IL-05,-0.134751752,-0.471455438
R000103,Matthew Rosendale,M,Republican,1960,1,MT-AL,0.42583900690078735,1.3085457590109817
R000305,Deborah Ross,F,Democrat,1963,1,NC-02,-0.351674616,-1.160234109
R000395,Harold Rogers,M,Republican,1937,21,KY-05,0.15822918713092804,0.458824653
R000486,Lucille Roybal-Allard,F,Democrat,1941,15,CA-40,-0.316127628,-1.047364461
R000575,Mike Rogers (Alabama),M,Republican,1958,10,AL-03,0.34624820947647095,1.055827154
