Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
H001087,Katie Hill,F,Democrat,1987,1,CA-25,-0.056231108,-0.288535267
H001088,Jim Hagedorn,M,Republican,1962,1,MN-01,0.3112182021141052,1.0463815927505493
H001090,Josh Harder,M,Democrat,1986,1,CA-10,0.056142061948776245,0.11970832943916321
H001092,Kwanza Hall,M,Democrat,1971,1,GA-05,-0.209749475,-0.846256375
J000032,Sheila Jackson Lee,F,Democrat,1950,13,TX-18,-0.163912147,-0.67973268
J000126,Eddie Bernice Johnson,F,Democrat,1935,14,TX-30,-0.277499527,-1.092387438
J000288,"Henry C. Johnson, Jr.",M,Democrat,1954,7,GA-04,-0.239122152,-0.95296514
J000289,Jim Jordan,M,Republican,1964,7,OH-04,0.27688053250312805,0.9216352701187134
J000292,Bill Johnson (Ohio),M,Republican,1954,5,OH-06,0.34689727425575256,1.1760010719299316
J000294,Hakeem Jeffries,M,Democrat,1970,4,NY-08,-0.31303218,-1.221474886
J000295,David Joyce,M,Republican,1957,4,OH-14,0.24230310320854187,0.7960179448127747
J000298,Pramila Jayapal,F,Democrat,1965,2,WA-07,-0.350535989,-1.357723594
J000299,Mike Johnson (Louisiana),M,Republican,1972,2,LA-04,0.44172266125679016,1.520494818687439
J000301,Dusty Johnson,M,Republican,1976,1,SD-AL,0.28514379262924194,0.9516550898551941
J000302,John Joyce (Pennsylvania),M,Republican,1957,1,PA-13,0.41300255060195923,1.4161567687988281
K000009,Marcy Kaptur,F,Democrat,1946,19,OH-09,-0.096520282,-0.434902906
K000362,Steve King,M,Republican,1949,9,IA-04,0.2059495598077774,0.663948119
K000368,Ann Kirkpatrick,F,Democrat,1950,4,AZ-02,-0.097704507,-0.43920511
K000375,Bill Keating,M,Democrat,1952,5,MA-09,-0.230838671,-0.922871947
K000376,Mike Kelly,M,Republican,1948,5,PA-16,0.18959996104240417,0.6045511960983276
K000378,Adam Kinzinger,M,Republican,1978,5,IL-16,0.059641849249601364,0.1324228048324585
K000379,Joseph Kennedy III,M,Democrat,1980,4,MA-04,-0.178128973,-0.731381416
K000380,Dan Kildee,M,Democrat,1958,4,MI-05,-0.275601834,-1.085493207
K000381,Derek Kilmer,M,Democrat,1974,4,WA-06,-0.195541516,-0.794639885
K000382,Annie Kuster,F,Democrat,1956,4,NH-02,-0.245884538,-0.977532446
K000385,Robin Kelly,F,Democrat,1956,4,IL-02,-0.525344968,-1.99279201
K000386,John Katko,M,Republican,1962,3,NY-24,0.042731199,0.070987642
K000388,Trent Kelly,M,Republican,1966,3,MS-01,0.264230877,0.8756799101829529
K000389,Ro Khanna,M,Democrat,1976,2,CA-17,-0.180003881,-0.738192797
K000391,Raja Krishnamoorthi,M,Democrat,1973,2,IL-08,-0.307599783,-1.20173943
K000392,David Kustoff,M,Republican,1966,2,TN-08,0.5149016976356506,1.7863489389419556
K000394,Andrew Kim (New Jersey),M,Democrat,1982,1,NJ-03,-0.186399952,-0.76142925
K000395,Fred Keller (politician),M,Republican,1965,1,PA-12,0.4153534173965454,1.4246972799301147
L000287,John Lewis (Georgia),M,Democrat,1940,17,GA-05,-0.356584072,-1.379695773
L000397,Zoe Lofgren,F,Democrat,1947,13,CA-19,-0.234184295,-0.935026288
L000480,Nita Lowey,F,Democrat,1937,16,NY-17,-0.594509482,-2.244061708
L000491,Frank D. Lucas,M,Republican,1960,14,OK-03,0.031781711,0.031208937987685204
L000551,Barbara Lee (California),F,Democrat,1946,12,CA-13,-0.438834757,-1.678506613
L000557,John B. Larson,M,Democrat,1948,11,CT-01,-0.313725412,-1.223993421
L000559,Jim Langevin,M,Democrat,1964,10,RI-02,-0.071206138,-0.342938483
L000562,Stephen Lynch,M,Democrat,1955,10,MA-08,-0.145696953,-0.613558233
L000563,Daniel Lipinski,M,Democrat,1966,8,IL-03,-0.091297053,-0.415927291
L000564,Doug Lamborn,M,Republican,1954,7,CO-05,0.38466304540634155,1.3132013082504272
L000566,Robert E. Latta,M,Republican,1956,7,OH-05,0.2439579963684082,0.8020300269126892
L000569,Blaine Luetkemeyer,M,Republican,1952,6,MO-03,0.016967995,-0.022608219
L000570,Ben Ray Luján,M,Democrat,1972,6,NM-03,-0.237457678,-0.946918309
L000578,Doug LaMalfa,M,Republican,1960,4,CA-01,0.44572392106056213,1.5350310802459717
L000579,Alan Lowenthal,M,Democrat,1941,4,CA-47,-0.107991323,-0.476576388
L000581,Brenda Lawrence (Michigan),F,Democrat,1954,3,MI-14,-0.429434896,-1.644357562
L000582,Ted Lieu,M,Democrat,1969,3,CA-33,-0.145715967,-0.613627315
L000583,Barry Loudermilk,M,Republican,1963,3,GA-11,0.294436514,0.9854148626327515
L000585,Darin LaHood,M,Republican,1968,3,IL-18,0.49844011664390564,1.7265452146530151
L000586,Alfred Lawson,M,Democrat,1948,2,FL-05,-0.20807074,-0.840157688
L000588,Conor Lamb,M,Democrat,1984,2,PA-17,0.035365567,0.044228829
L000589,Debbie Lesko,F,Republican,1958,2,AZ-08,0.27760830521583557,0.9242792129516602
L000590,Susie Lee,F,Democrat,1966,1,NV-03,-0.129866704,-0.556048095
L000591,Elaine Luria,F,Democrat,1975,1,VA-02,-0.083406173,-0.387260288
L000592,Andy Levin,M,Democrat,1960,1,MI-09,-0.256077886,-1.014564157
L000593,Mike Levin,M,Democrat,1978,1,CA-49,-0.225932896,-0.905049622
M000087,Carolyn B. Maloney,F,Democrat,1946,14,NY-12,-0.424153656,-1.625171185
M000312,Jim McGovern (Massachusetts),M,Democrat,1959,12,MA-02,-0.183796763,-0.751972079
M000687,Kweisi Mfume,M,Democrat,1948,6,MD-07,-0.118803144,-0.515854955
M001137,Gregory Meeks,M,Democrat,1953,12,NY-05,-0.257721812,-1.020536423
M001143,Betty McCollum,F,Democrat,1954,10,MN-04,-0.371884793,-1.43528223
M001156,Patrick T. McHenry,M,Republican,1975,8,NC-10,0.055330924689769745,0.11676152795553207
M001157,Michael McCaul,M,Republican,1962,8,TX-10,0.073731028,0.1836077719926834
M001159,Cathy McMorris Rodgers,F,Republican,1969,8,WA-05,0.37224751710891724,1.268096685409546
M001160,Gwen Moore,F,Democrat,1951,8,WI-04,-0.27502358,-1.083392501
M001163,Doris Matsui,F,Democrat,1944,8,CA-06,-0.271762639,-1.07154572
M001165,Kevin McCarthy (California),M,Republican,1965,7,CA-23,0.2530815303325653,0.8351751565933228
M001166,Jerry McNerney,M,Democrat,1951,7,CA-09,-0.188396513,-0.768682659
M001177,Tom McClintock,M,Republican,1956,6,CA-04,0.25276079773902893,0.8340099453926086
M001180,David McKinley,M,Republican,1947,5,WV-01,0.3626849353313446,1.2333564758300781
M001184,Thomas Massie,M,Republican,1971,5,KY-04,0.1978359818458557,0.6344720721244812
M001185,Sean Maloney,M,Democrat,1966,4,NY-18,0.028030619025230408,0.017581495
M001187,"Mark Meadows, North Carolina",M,Republican,1959,4,NC-11,0.12529656291007996,0.3709416091442108
M001188,Grace Meng,F,Democrat,1975,4,NY-06,-0.381936669,-1.47179997
M001190,Markwayne Mullin,M,Republican,1977,4,OK-02,0.41816872358322144,1.4349250793457031
M001194,John Moolenaar,M,Republican,1961,3,MI-04,0.2938256859779358,0.9831957817077637
M001195,Alexander Mooney,M,Republican,1971,3,WV-02,0.31430724263191223,1.0576038360595703
M001196,Seth Moulton,M,Democrat,1978,3,MA-06,-0.005827935,-0.105424188
M001198,Roger Marshall,M,Republican,1960,2,KS-01,0.3985294997692108,1.363577127456665
M001199,Brian Mast,M,Republican,1980,2,FL-18,0.2523227632045746,0.8324186205863953
M001201,Paul Mitchell (politician),M,Republican,1961,2,MI-10,0.33172348141670227,1.1208757162094116
M001202,Stephanie Murphy,F,Democrat,1978,2,FL-07,0.015740258619189262,-0.027068496
M001203,Tom Malinowski,M,Democrat,1965,1,NJ-07,-0.05627891,-0.288708925
M001204,Dan Meuser,M,Republican,1964,1,PA-09,0.44057613611221313,1.5163295269012451
M001205,Carol Miller (West Virginia),F,Republican,1950,1,WV-03,0.4589889943599701,1.5832221508026123
M001206,Joseph Morelle,M,Democrat,1957,2,NY-25,-0.188847661,-0.770321608
M001207,Debbie Mucarsel-Powell,F,Democrat,1971,1,FL-26,-0.224728912,-0.900675595
M001208,Lucy McBath,F,Democrat,1960,1,GA-06,-0.164144725,-0.680577636
M001209,Ben McAdams,M,Democrat,1974,1,UT-04,0.053279545,0.10930901765823364
M001210,Gregory Murphy,M,Republican,1963,1,NC-03,0.43886426091194153,1.5101104974746704
N000002,Jerrold Nadler,M,Democrat,1947,15,NY-10,-0.335613787,-1.303512335
N000015,Richard Neal,M,Democrat,1949,16,MA-01,-0.258725524,-1.024182796
N000147,Eleanor Holmes Norton,F,Democrat,1937,15,DC-AL,-0.229043588,-0.916350543
N000179,Grace Napolitano,F,Democrat,1936,11,CA-32,-0.190897733,-0.777769387
N000181,Devin Nunes,M,Republican,1973,9,CA-22,0.2597752809524536,0.859493077
