Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
L000266,Jacob LaTurner,M,Republican,1988,2,KS-02,0.42021816968917847,1.4846023321151733
L000273,Teresa Leger Fernandez,F,Democrat,1959,2,NM-03,-0.396800309,-1.254328966
L000397,Zoe Lofgren,F,Democrat,1947,15,CA-18,-0.177961424,-0.520704627
L000491,Frank D. Lucas,M,Republican,1960,16,OK-03,0.3405127227306366,1.2174018621444702
L000551,Barbara Lee (California),F,Democrat,1946,14,CA-12,-0.396133363,-1.252093196
L000557,John B. Larson,M,Democrat,1948,13,CT-01,-0.689447701,-2.235385418
L000560,Rick Larsen,M,Democrat,1965,12,WA-02,-0.183489934,-0.539238155
L000562,Stephen Lynch,M,Democrat,1955,12,MA-08,-0.151214451,-0.431039453
L000564,Doug Lamborn,M,Republican,1954,9,CO-05,0.18745116889476776,0.7042860388755798
L000566,Robert E. Latta,M,Republican,1956,9,OH-05,0.45668134093284607,1.606839656829834
L000569,Blaine Luetkemeyer,M,Republican,1952,8,MO-03,0.38981199264526367,1.382670283317566
L000578,Doug LaMalfa,M,Republican,1960,6,CA-01,0.3044794797897339,1.096605896949768
L000582,Ted Lieu,M,Democrat,1969,5,CA-36,-0.571065009,-1.838525176
L000585,Darin LaHood,M,Republican,1968,5,IL-16,0.038238171488046646,0.20407193899154663
L000589,Debbie Lesko,F,Republican,1958,4,AZ-08,0.2226577252149582,0.8223106861114502
L000590,Susie Lee,F,Democrat,1966,3,NV-03,-0.266660869,-0.818056166
L000593,Mike Levin,M,Democrat,1978,3,CA-49,-0.494871348,-1.583097339
L000595,Julia Letlow,F,Republican,1981,2,LA-05,-0.021780426,0.002868627
L000596,Anna Paulina Luna,F,Republican,1989,1,FL-13,0.11640739440917969,0.46612247824668884
L000597,Laurel Lee,F,Republican,1974,1,FL-15,0.16658350825309753,0.6343303322792053
L000598,Nick LaLota,M,Republican,1978,1,NY-01,0.1462840884923935,0.5662795901298523
L000599,Mike Lawler,M,Republican,1986,1,NY-17,0.1559576392173767,0.5987086892127991
L000600,Nick Langworthy,M,Republican,1981,1,NY-23,0.27915963530540466,1.011724829673767
L000601,Greg Landsman,M,Democrat,1976,1,OH-01,-0.340105206,-1.064267159
L000602,Summer Lee,F,Democrat,1987,1,PA-12,-0.509252548,-1.631308198
L000603,Morgan Luttrell,M,Republican,1975,1,TX-08,0.08358781,0.3560997545719147
